鼻部是面部中区线的核心，在传统面相学中，鼻为“财帛宫”“夫妻宫”宜直宜挺，丰隆饱满，不仅衬托面部均衡协调，更代表富贵旺运，婚姻美满呢！	0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1
您的身高体重是多少呢？罗小姐	0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,0
遗传性雀斑是可以治疗好的 请问您贵姓呢？多大年龄？	0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,0
吸脂做下来三四万	0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0
我这边简单的了解一下您的基础的情况	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
之前是做什么检查的	1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0
之前有了解㢧激光脱毛没有呢	0, ,0, ,0, ,1, ,0, ,0, ,0, ,0, ,0
匠心造美21年19家连锁，鹏程医院支持0首付0利息分期付款，我是马助理，电话1881446194，微信18123749829。	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
跟她本人详细沟通 讲解一下	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
有到专业的医院做过皮肤检查咨询吗	1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0
您加了吗	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
沙井过来很方便的 地铁是可以到的	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
也详细的全面的了解一下你的情况	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
因为如果太过于臃肿 可能不适合做埋线	0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1
咱们是全面部都不够饱满吗？还是具体哪个部位呢？	0, ,0, ,1, ,0, ,0, ,0, ,0, ,0, ,0
治疗费用几百到一两千不等的	0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0
我加你吧，你微信多少呢？	0, ,0, ,0, ,0, ,1, ,0, ,0, ,0, ,0
你好女士，正值魅力的年龄呢	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
近期有复查了吗？	1, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,0
请问您皱纹出现多久?平时是否做过皮肤保养？	0, ,0, ,1, ,0, ,0, ,0, ,0, ,0, ,0
我是鹏程美容医院的助理，有什么能帮到您，想要了解什么项目呢？	0, ,0, ,0, ,1, ,0, ,0, ,0, ,0, ,0
那您预算多少恩？	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
你的微信号是手机号吗？	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
您微信是多少呢，我加您，您方便可以发个照片给我帮您看看您的基础，帮您从专业角度先分析一下的	0, ,0, ,0, ,0, ,1, ,0, ,0, ,0, ,0
双眼皮的手术有很多	0, ,0, ,0, ,0, ,0, ,0, ,0, ,0, ,1
我是广州中家医家庭医生的梦圆，怎么称呼你呢	0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,0
你每个月分期还就可以了	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
您怎么称呼，多大年纪，	0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,0
您现在鼻部是什么情况呢	0, ,0, ,1, ,0, ,0, ,0, ,0, ,0, ,0
在的，请讲	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
您好，一千多到两千多不等，可以0首付分期付款	0, ,0, ,0, ,0, ,0, ,0, ,0, ,1, ,0
聊了这么久也不知道怎么称呼你呢	0, ,0, ,0, ,0, ,0, ,1, ,0, ,0, ,0
好的，饶小姐	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
费用这一块网络不好沟通，避免不法分子模仿抄袭，你的微信号是多少，这边加你，微信细说	0, ,0, ,0, ,0, ,1, ,0, ,0, ,0, ,0
根据以往的患者 时间上都是有一定延长的	0, ,1, ,0, ,0, ,0, ,0, ,0, ,0, ,0
您微信多少呢？方便的话加您微信，您发图片，我这边先看一下您的基础情况，也能更好的给您建议，顺便给您看一下我们医院的案例	0, ,0, ,0, ,0, ,1, ,0, ,0, ,0, ,0
那您是想要祛疤痕吗？	0, ,0, ,0, ,1, ,0, ,0, ,0, ,0, ,0
